epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19106.9,1.42064,1.0535,0.92936,0.41115,0.31837,0.31073,0.17992,1.36165,1.02764,0.91526,0.005842,0.005842,0.005842
44,19478.4,1.42815,1.05453,0.92902,0.41098,0.31494,0.31008,0.18066,1.36134,1.02298,0.91406,0.005743,0.005743,0.005743
45,19701.2,1.42383,1.04792,0.92814,0.41922,0.31557,0.31219,0.18281,1.35805,1.02878,0.91457,0.005644,0.005644,0.005644
46,19934.5,1.41526,1.04032,0.92599,0.41433,0.3198,0.31513,0.18367,1.35496,1.017,0.91248,0.005545,0.005545,0.005545
47,20599.2,1.41,1.03843,0.92528,0.41822,0.31886,0.31431,0.18311,1.35515,1.0205,0.91285,0.005446,0.005446,0.005446
48,20824.7,1.41097,1.03686,0.92619,0.42074,0.32052,0.31417,0.18287,1.35227,1.0134,0.91258,0.005347,0.005347,0.005347
49,22466.1,1.39862,1.02608,0.92123,0.42102,0.3164,0.31709,0.18559,1.35084,1.00609,0.911,0.005248,0.005248,0.005248
50,22819.4,1.40479,1.03069,0.92315,0.42254,0.31711,0.31535,0.18438,1.35183,1.01127,0.91153,0.005149,0.005149,0.005149
51,23092.9,1.39648,1.02439,0.92281,0.42124,0.32832,0.3202,0.18676,1.34755,1.01062,0.91034,0.00505,0.00505,0.00505
52,23997.3,1.40054,1.02383,0.92167,0.42736,0.32436,0.32045,0.18619,1.34298,1.00351,0.9099,0.004951,0.004951,0.004951
53,24240,1.39263,1.01723,0.91993,0.42349,0.32562,0.31894,0.18594,1.34801,1.00848,0.91043,0.004852,0.004852,0.004852
54,24479.6,1.39402,1.01431,0.92081,0.43179,0.31945,0.3208,0.18679,1.34845,1.00472,0.91107,0.004753,0.004753,0.004753
55,25648.2,1.39198,1.01455,0.9208,0.43809,0.32433,0.32272,0.18756,1.34372,1.00281,0.91039,0.004654,0.004654,0.004654
